model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,469,makeCasual,465,2,tie,1.010,50.21% vs 49.79%,8.53e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,makeCasual,715,makeProfessional,719,2,tie,1.010,49.86% vs 50.14%,8.81e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,makeCasual,571,makeProfessional,576,2,tie,1.010,49.78% vs 50.22%,8.35e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,companyName,579,makeCasual,574,2,tie,1.010,50.22% vs 49.78%,8.35e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,576,makeProfessional,581,2,tie,1.010,49.78% vs 50.22%,8.35e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,594,maintenanceLine,599,2,tie,1.010,49.79% vs 50.21%,8.38e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,610,numbersLine,602,2,tie,1.010,50.33% vs 49.67%,7.45e-01,False
o1-2024-12-17-FC,addExample,572,fusion,566,2,tie,1.010,50.26% vs 49.74%,8.01e-01,False
o1-2024-12-17-FC,makeCasual,585,makeProfessional,588,2,tie,1.010,49.87% vs 50.13%,9.01e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,466,makeProfessional,467,2,tie,1.000,49.95% vs 50.05%,9.63e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,464,numbersLine,462,2,tie,1.000,50.11% vs 49.89%,9.26e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,maintenanceLine,467,numbersLine,466,2,tie,1.000,50.05% vs 49.95%,9.63e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,maintenanceLine,466,makeCasual,468,2,tie,1.000,49.89% vs 50.11%,9.26e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,makeCasual,732,numbersLine,735,2,tie,1.000,49.90% vs 50.10%,9.12e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,companyName,579,makeProfessional,579,2,tie,1.000,50.00% vs 50.00%,1.00e+00,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-14B,companyName,580,makeCasual,578,2,tie,1.000,50.09% vs 49.91%,9.34e-01,False
